Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
New Zealand,NZL,1950,0.000829364149534192,25.570548538687,0.215819439683562,3.95994787647935,0.262002042807433
New Zealand,NZL,1960,0.00667725861999031,26.0978344508721,0.53158159859896,5.50821003090088,0.620228069679315
New Zealand,NZL,1970,0.000635710471457803,16.4693344887266,0.128023292947935,2.29818614833603,0.15463727151154
New Zealand,NZL,1980,0.0000948813374911942,11.3534804312492,0.0405634187120853,1.13504376892679,0.0503883761190395
New Zealand,NZL,1990,0.000121780470163444,9.83646383082386,0.0401890996179079,1.0137819856507,0.049528375710594
New Zealand,NZL,2000,0.00347269096134023,12.0163110209891,0.210266516812507,2.1782455880757,0.244210230482066
New Zealand,NZL,2005,0.00520053479544127,11.2188515683219,0.240039947773719,2.18197005651096,0.276269532568807
New Zealand,NZL,2010,0.0241806292310311,14.310670748236,0.577863863846983,3.62533579255484,0.649385490486161
New Zealand,NZL,2017,0.0364950135147868,14.2445076685372,0.69590177212553,3.88335747737383,0.775924831552129
Nicaragua,NIC,1820,54.2307685997759,99.5993462671015,86.8454172200018,97.0306408223554,87.7477309919972
Nicaragua,NIC,1850,41.6798055570786,99.6719124595203,83.0270347284737,96.6878005108687,84.2579139845531
Nicaragua,NIC,1870,42.6710506014925,98.3535135396323,76.9605426499772,92.4391142308182,78.1428314539753
Nicaragua,NIC,1890,25.6307150076963,98.8440903846542,69.4868759484851,91.7824694060807,71.2104265552573
Nicaragua,NIC,1910,21.5286089753207,97.1226530710702,61.0717549634943,86.2179006898996,62.8152513478985
Nicaragua,NIC,1929,18.8723421309738,93.0330055050337,52.2676385758934,77.8626514291706,53.8670676898037
Nicaragua,NIC,1950,10.5510560346611,95.9519015150637,47.6644745948139,80.0463388855227,49.698947459113
Nicaragua,NIC,1960,21.9447487310349,90.5598066348675,52.2692487972822,75.3491787243787,53.6842107521021
Nicaragua,NIC,1970,13.7721546380665,84.0756801084937,39.7570603976984,64.3923610690426,41.1350809429064
Nicaragua,NIC,1980,19.8323464120324,89.2616114845508,49.3357141792956,72.9716166003546,50.7546277808231
Nicaragua,NIC,1990,31.3529411770965,94.5457087458954,63.4991222756847,83.4899456141424,64.8276292810341
Nicaragua,NIC,2000,22.4587406132715,92.1337323461533,54.2646308917414,77.6556074891047,55.7281668245777
Nicaragua,NIC,2005,12.2683656135374,90.1938114575614,42.6617831717167,71.0156275099844,44.3071730238974
Nicaragua,NIC,2010,2.66774365444018,88.8198891458178,24.8598261660316,60.6053979840121,26.5897357387802
